@relation 'table_train-weka.filters.unsupervised.attribute.Remove-R1-2,6-11,14'

@attribute u numeric
@attribute g numeric
@attribute r numeric
@attribute class {STAR,GALAXY,QSO}
@attribute redshift numeric

@data
0.763983,0.249504,-0.124218,GALAXY,-0.163355
0.450895,0.255774,0.246434,STAR,-0.367361
0.784825,0.337041,-0.02915,GALAXY,-0.108772
0.828932,0.793807,0.417071,GALAXY,0.011838
0.52779,0.803171,0.764495,GALAXY,-0.093659
-0.915417,-0.987479,-1.006388,GALAXY,-0.253663
0.794613,0.715591,0.603339,GALAXY,-0.178574
-1.976803,-1.355336,-1.122331,GALAXY,-0.300695
0.448496,-0.157042,-0.409848,GALAXY,-0.190771
-2.226689,-1.720611,-1.201007,STAR,-0.367694
0.127212,0.448025,0.568435,GALAXY,-0.153658
0.923667,0.923986,0.783703,GALAXY,0.033646
0.591003,1.613148,1.875312,QSO,1.762603
1.02009,0.863403,0.513063,GALAXY,-0.028679
0.49141,0.456783,0.423229,GALAXY,-0.234591
-0.185092,0.300117,0.566053,GALAXY,-0.140256
-0.159537,0.956287,1.284506,QSO,3.643172
0.718333,-0.241901,-0.791573,GALAXY,-0.054057
0.750699,-0.10561,-0.511734,GALAXY,-0.154009
0.769082,0.917896,0.940867,STAR,-0.367423
0.571607,0.180577,-0.043508,GALAXY,-0.264423
-1.469037,-1.551286,-1.433383,STAR,-0.368433
0.482273,0.479932,0.351728,GALAXY,-0.114225
0.29443,-0.189268,-0.34071,STAR,-0.368289
0.794878,0.96665,1.098398,STAR,-0.368085
-0.644821,-0.378054,-0.235934,STAR,-0.36718
-0.972832,-1.484931,-1.602533,GALAXY,-0.271792
-0.508957,-0.764639,-0.742885,STAR,-0.367908
-2.853515,-2.739143,-2.428708,STAR,-0.367409
0.469664,0.560678,0.566534,GALAXY,-0.175788
1.08722,0.204555,-0.370642,GALAXY,0.000396
0.875715,-0.052988,-0.535084,GALAXY,-0.072196
0.407958,0.641137,0.916245,STAR,-0.367022
0.911094,-0.032124,-0.410921,GALAXY,-0.131362
1.178122,0.546999,0.099645,GALAXY,-0.049718
0.464818,0.250811,0.23296,GALAXY,-0.176275
-0.336869,-0.211843,-0.250019,GALAXY,-0.230448
1.155906,0.704292,0.101773,GALAXY,0.165127
-1.27847,-1.248943,-1.134863,STAR,-0.366533
0.39477,1.763309,2.344601,QSO,2.748714
-3.00176,-2.315485,-1.851404,STAR,-0.367207
